model,model_family,dataset,attack,range_name,start_qf,end_qf,schedule,generations,qfs,clean_accuracy,clean_correct,no_defense_asr,no_defense_successes,asr,ci_low,ci_high,successes,total
robustbench_rice2020,robustbench_cifar,cifar10,fgsm,R3,90,60,fixed,3,"75,75,75",0.86328125,442,0.2760180995475113,122,0.2805429864253393,0.2406887259858058,0.3241790175543441,124,442
robustbench_rice2020,robustbench_cifar,cifar10,fgsm,R3,90,60,fixed,5,"75,75,75,75,75",0.86328125,442,0.2760180995475113,122,0.2850678733031674,0.2449740093570119,0.3288655332854029,126,442
robustbench_rice2020,robustbench_cifar,cifar10,fgsm,R3,90,60,front_loaded,3,"60,80,90",0.86328125,442,0.2760180995475113,122,0.2737556561085973,0.2342705353387694,0.3171395095479831,121,442
robustbench_rice2020,robustbench_cifar,cifar10,fgsm,R3,90,60,front_loaded,5,"60,72,80,86,90",0.86328125,442,0.2760180995475113,122,0.2941176470588235,0.2535598200724282,0.3382233207745165,130,442
cifar_resnet18,standard_cifar,cifar10,pgd,R1,75,50,geometric,3,"75,65,50",0.625,160,1.0,160,0.825,0.7587019750779815,0.8760579980605401,132,160
cifar_resnet18,standard_cifar,cifar10,pgd,R1,75,50,geometric,5,"75,70,65,58,50",0.625,160,1.0,160,0.8,0.7313149744396211,0.8546173084574759,128,160
cifar_resnet18,standard_cifar,cifar10,pgd,R1,75,50,arithmetic,3,"75,63,50",0.625,160,1.0,160,0.825,0.7587019750779815,0.8760579980605401,132,160
cifar_resnet18,standard_cifar,cifar10,pgd,R1,75,50,arithmetic,5,"75,69,63,56,50",0.625,160,1.0,160,0.8125,0.7449603968476121,0.8653857311701972,130,160
cifar_resnet18,standard_cifar,cifar10,pgd,R1,75,50,fixed,3,"62,62,62",0.625,160,1.0,160,0.7375,0.6643294227646624,0.7995336345288727,118,160
cifar_resnet18,standard_cifar,cifar10,pgd,R1,75,50,fixed,5,"62,62,62,62,62",0.625,160,1.0,160,0.7375,0.6643294227646624,0.7995336345288727,118,160
cifar_resnet18,standard_cifar,cifar10,pgd,R1,75,50,front_loaded,3,"50,65,75",0.625,160,1.0,160,0.61875,0.541543504383356,0.6903880242634116,99,160
cifar_resnet18,standard_cifar,cifar10,pgd,R1,75,50,front_loaded,5,"50,58,65,70,75",0.625,160,1.0,160,0.59375,0.5163168856257645,0.6667869527795783,95,160
cifar_resnet18,standard_cifar,cifar10,pgd,R2,85,55,geometric,3,"85,74,55",0.625,160,1.0,160,0.86875,0.8076812686575604,0.9125271624034548,139,160
cifar_resnet18,standard_cifar,cifar10,pgd,R2,85,55,geometric,5,"85,80,74,66,55",0.625,160,1.0,160,0.89375,0.8364379048857311,0.9325982164167088,143,160
cifar_resnet18,standard_cifar,cifar10,pgd,R2,85,55,arithmetic,3,"85,70,55",0.625,160,1.0,160,0.8125,0.7449603968476121,0.8653857311701972,130,160
cifar_resnet18,standard_cifar,cifar10,pgd,R2,85,55,arithmetic,5,"85,78,70,63,55",0.625,160,1.0,160,0.88125,0.8219771441876508,0.9226451319940764,141,160
cifar_resnet18,standard_cifar,cifar10,pgd,R2,85,55,fixed,3,"70,70,70",0.625,160,1.0,160,0.8125,0.7449603968476121,0.8653857311701972,130,160
cifar_resnet18,standard_cifar,cifar10,pgd,R2,85,55,fixed,5,"70,70,70,70,70",0.625,160,1.0,160,0.8125,0.7449603968476121,0.8653857311701972,130,160
cifar_resnet18,standard_cifar,cifar10,pgd,R2,85,55,front_loaded,3,"55,74,85",0.625,160,1.0,160,0.725,0.6511504495603382,0.7882987626124844,116,160
cifar_resnet18,standard_cifar,cifar10,pgd,R2,85,55,front_loaded,5,"55,66,74,80,85",0.625,160,1.0,160,0.625,0.5478816833078075,0.6962567678993162,100,160
cifar_resnet18,standard_cifar,cifar10,pgd,R3,90,60,geometric,3,"90,80,60",0.625,160,1.0,160,0.825,0.7587019750779815,0.8760579980605401,132,160
